question,semantic_similarity,answer,ground_truth,contexts
What is the total number of ECTS for the courses listed in the provided semester?,1.0,24,24,"56 **Thesis** 54 **TOTAL ECTS** 110 #### **Courses per Semester** * [Semester 1](#tab-6815307852551-1) * [Semester 2](#tab-6815307852551-2) * [Semester 3](#tab-6815307852551-3) | Semester | | | | | --- | --- | --- | --- | | **Course Type** | **Course** | **Course Title** | **ECTS** | | Compulsory | [CEE 610](#) | Graduate Seminars | 0 | | Restricted Elective | | Selection from a List of Courses | 8 | | Restricted Elective | | Selection from a List of Courses | 8 | | Restricted Elective | | Selection from a List of Courses | 8 | | **Total** | | | **24** | | Semester | | | | | --- | --- |\n---\n| | | **24** | | Semester | | | | | --- | --- | --- | --- | | **Course Type** | **Course** | **Course Title** | **ECTS** | | Compulsory | [CEE 610](#) | Graduate Seminars | 0 | | Restricted Elective | | Selection from a List of Courses | 8 | | Restricted Elective | | Selection from a List of Courses | 8 | | Restricted Elective | | Selection from a List of Courses | 8 | | **Total** | | | **24** | | Semester | | | | | --- | --- | --- | --- | | **Course Type** | **Course** | **Course Title** | **ECTS** | | Compulsory | [CEE 610](#) | Graduate Seminars | 0 | | Restricted Elective | | Selection from a List of Courses | 8 | | Restricted Elective | | Selection from\n---\n80 **Thesis** 10 **TOTAL ECTS** 90 #### **Courses per Semester** * [Semester 1](#tab-681530749fb95-1) * [Semester 2](#tab-681530749fb95-2) * [Semester 3](#tab-681530749fb95-3) | Semester | | | | | --- | --- | --- | --- | | **Course Type** | **Course** | **Course Title** | **ECTS** | | Compulsory | [CEE 610](#) | Graduate Seminars | 0 | | Restricted Elective | | Selection from a List of Courses | 8 | | Restricted Elective | | Selection from a List of Courses | 8 | | Restricted Elective | | Selection from a List of Courses | 8 | | Restricted Elective | | Selection from a List of Courses | 8 | | **Total** | |\n---\nElective | | Selection from a List of Courses | 8 | | **Total** | | | **32** | | Semester | | | | | --- | --- | --- | --- | | **Course Type** | **Course** | **Course Title** | **ECTS** | | Compulsory | [CEE 610](#) | Graduate Seminars | 0 | | Restricted Elective | | Selection from a List of Courses | 8 | | Restricted Elective | | Selection from a List of Courses | 8 | | Restricted Elective | | Selection from a List of Courses | 8 | | Restricted Elective | | Selection from a List of Courses | 8 | | **Total** | | | **32** | | Semester | | | | | --- | --- | --- | --- | | **Course Type** | **Course** | **Course Title** | **ECTS** | | Compulsory | [CEE\n---\n# ECTS System The study programmes of the University are based on the European Credit Transfer System (ECTS). An ECTS unit normally corresponds to a 25-30 hour workload per semester. Full-time status requires a course load of 18 ECTS per semester. Students carrying fewer credits are considered part-time. Every semester the student enrolls in courses according to the requirements of his / her curriculum. As a rule, the student can enroll in a given semester of study in courses that represent up to 30 ECTS. In the summer period he can enroll in courses representing up to 15 ECTS. An increased load may be allowed in a given semester, beyond 30 and up to 45 ECTS, provided that there are special reasons submitted by the student to the Chairman of the department for approval, through a reasoned request accompanied by the detailed grade."
What departments are listed under the Faculty of Social Sciences and Education?,1.000000238418579,"Department of Education, Department of Social and Political Sciences, Department of Law, Department of Psychology","Department of Education, Department of Social and Political Sciences, Department of Law, Department of Psychology","pdf) * [Department of Chemistry](https://www.ucy.ac.cy/aasw/wp-content/uploads/sites/35/2025/04/CHE-10-4-25.pdf) **FACULTY OF SOCIAL SCIENCES AND EDUCATION** * [Department of Education](https://www.ucy.ac.cy/aasw/wp-content/uploads/sites/35/2025/04/EDU-10-4-25.pdf) * [Department of Social and Political Sciences](https://www.ucy.ac.cy/aasw/wp-content/uploads/sites/35/2025/03/SPS-12-3-25.pdf) * [Department of Law](https://www.ucy.ac.cy/aasw/wp-content/uploads/sites/35/2025/04/LAW-25-4-25.pdf) * [Department of Psychology](https://www.ucy.ac.\n---\nMIGRATION AND DOCOLONIAL EDUCATION (PhD/MA) - MATHEMATICS EDUCATION (PhD/MA) - PhD IN LEARNING IN NATURAL SCIENCES AND ENVIRONMENT (PhD) - LEARNING IN NATURAL SCIENCES AND ENVIRONMENT - LEARNING IN NATURAL SCIENCES(MA) - LEARNING IN NATURAL SCIENCES AND ENVIRONMENT - ENVIRONMENTAL AND SUSTAINABILITY EDUCATION (MA) - ECONOMIC ANALYSIS (english language) (MSc) - GENDER STUDIES (PhD/MA) **by 30/05/2025 until 12:00 noon:** - DESIGN FOR SOCIAL INNOVATION (MA) - ARCHITECTURE (PhD) - HUMAN RESOURCE MANAGEMENT (HRM) (MSc) - ENERGY TECHNOLOGIES AND SUSTAINABLE DESIGN - ARCHITECTURE (M.\n---\nM) - LAW (PhD) - CRIMINAL JUSTICE AND HUMAN RIGHTS (LL.M) - PHYSICS (PhD/MSc) **By 30/06/2025 until 12:00 noon:** - FINANCE (MSc/PhD) Together with your application you must submit, the names and addresses of **at least two (2) referees (University Professors)** familiar with the candidate and his/her academic performance. The Department may request additional confidential information from referees. Reference letters are submitted **electronically** directly by the University Professors using the online application system. (Some departments require **three (3) reference letters** to be submitted with the application, so before submitting your application, please visit the web page of the department to ve rify the number of reference letters required).\n---\n** With the following exceptions: **by 31/03/2025 until 12:00 noon:** - BUSINESS ADMINISTRATION (ENGLISH LANGUAGE) (PhD) **by 30/04/2025 until 12:00 noon:** - ECONOMICS (PhD) - MASTER IN BEHAVIOURAL ECONOMICS (MSc) - MASTER IN BUSINESS ECONOMICS [TECHNOLOGY, INNOVATION MANAGEMENT AND ENTREPRENEURSHIP (TIME MBE)] - CURRICULUM STUDIES, TEACHING AND COMPARATIVE EDUCATION (PhD/MA) - LANGUAGE,\n---\npdf) * [Department of Psychology](https://www.ucy.ac.cy/aasw/wp-content/uploads/sites/35/2025/03/PSY-13-3-25-EG.pdf) * [Sports Center](https://www.ucy.ac.cy/aasw/wp-content/uploads/sites/35/2025/03/SPO-12-3-25.pdf) **FACULTY OF ECONOMICS AND MANAGEMENT** * [Department of Business and Public Administration](https://www.ucy.ac.cy/aasw/wp-content/uploads/sites/35/2025/03/BPA-12-3-25.pdf) * [Department of Accounting and Finance](https://www.ucy.ac.cy/aasw/wp-content/uploads/sites/35/2025/03/AFN-12-3-25.pdf) * [Department of Economics](https://www.ucy."
Τι τύπος μετεγγραφών αναφέρονται στο κείμενο;,0.9014848470687866,Εξωτερικές Μετεγγραφές από κλάδο ιατρικό σπουδών,Εσωτερικές και Εξωτερικές Μετεγγραφές.,"pdf) **Μετεγγραφές στην Ιατρική Σχολή** Επιτρέπονται μόνο Εξωτερικές Μετεγγραφές από κλάδο ιατρικό σπουδών, για εισδοχή στο 2ο ή 4ο έτος σπουδών.\n---\npdf) **Μετεγγραφές στην Ιατρική Σχολή** Επιτρέπονται μόνο Εξωτερικές Μετεγγραφές από κλάδο ιατρικό σπουδών, για εισδοχή στο 2ο ή 4ο έτος σπουδών.\n---\npdf) **Μετεγγραφές στην Ιατρική Σχολή** Επιτρέπονται μόνο Εξωτερικές Μετεγγραφές από κλάδο ιατρικό σπουδών, για εισδοχή στο 2ο ή 4ο έτος σπουδών.\n---\n* *για αναφορά επειγόντων περιστατικών που αφορούν δίκτυα και συστήματα υποδομών πληροφορικής με τον μηχανικό επιφυλακής* **Μηχανικός Επιφυλακής** (για αναφορά επειγόντων περιστατικών που αφορούν δίκτυα και συστήματα\n---\ngesy.org.cy/](https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.gesy.org."
How can applications be submitted for a postgraduate programme?,0.8547917008399963,Electronically through the University of Cyprus application platform,Applications can be submitted ONLY electronically.,"# Postgraduate Programmes Places * [Apply Now](#tab-68152f1410251-1) * [How to Apply](#tab-68152f1410251-2) * [Postgraduate Programmes](#tab-68152f1410251-3) * [Postgraduate Programme Places](#tab-68152f1410251-4) * [Extension of Deadline for Submission of Applications](#tab-68152f1410251-5) * [Recommendation Letters](#tab-68152f1410251-6) * [Application requirements](#tab-68152f1410251-7) * [Frequently Αsked Questions (FAQs)](#tab-68152f1410251-8) [### Apply Now !\n---\n* Curriculum Vitae. * A short statement (max. two pages) of the student’s research goals and interests. * Two (2) signed letters of recommendation. * **For Doctoral Applications:** A preliminary research proposal for a PhD place (if this is stated in the departments regulations). --- **Criteria for assessment of postgraduate candidates are the following:** --- * Academic background in the appropriate discipline * Grades in related Degrees and Certificates. * Content of recommendation letters. * Personal interview at the discretion of each department. * Written examination at the discretion of each department. * Submission of a preliminary research proposal for a student place in a Phd Programme (if this is stated in the departments’ regulations) * Other criteria set by each department. * **For Doctoral Applications:** Evaluation of the preliminary research proposal for a PhD place (if this is stated in the departments regulations).\n---\nIt is possible at a later stage to return to the information you have entered, make any necessary changes, complete the process and submit your application. After submitting your application, you can check at which stage of the process the application is. - For **Master's programmes** click **[here.](https://www.ucy.ac.cy/graduateschool/master-programmes-of-study/?lang=en/)** - For **PhD programmes** click **[here.\n---\n[Master programmes in English/other languages](https://www.ucy.ac.cy/graduateschool/master-programmes-of-study/?lang=en) [PhD programmes in English/other languages](https://www.ucy.ac.cy/graduateschool/ph-d-programmes/?lang=en) 4**What is the procedure for enrolling in a postgraduate programme of study at the University of Cyprus?** To apply for a postgraduate programme, PhD/Master's degree, you must first apply for admission to the programme. The application is submitted electronically through the University of Cyprus [application platform](https://applications.ucy.ac.cy/postgraduate_appl/MNG_USER_en.login_frm) upon the announcement of the approved positions. 5**When can I apply for enrolment in a postgraduate programme?** The University of Cyprus announces all places in the postgraduate programmes, PhD/Masters.\n---\nThe interested person needs to also submit a cover letter where they will present their interest in this specific program, what they would be interested in researching, mention three faculty members with whom they may be interested in working with and whom they have contacted prior and made their interest known, mentioning what it is about these faculty members’ work they find interesting. There is no need to receive a prior confirmation of collaboration from a faculty member, just to inform the members of their interest and intent to apply. **FALL SEMESTER 2025/26 - ENTRY: SEPTEMBER 2025** [Postgraduate Programme Places for the Fall Semester of the Academic Year 2025/2026 - Entry September 2025 - Submission until 31.03.2025 at 12:00 pm."
What is the ECTS value for the course MBE5201 Finance & Accounting for Decision Making?,0.9999999403953552,4.0,4.0,5 | | AFN 522 Investments | 7.5 | | AFN 523 Empirical Methods in Finance I | 6 | | AFN 526/626 Financial and Integrated Reporting | 7.5 | | **Spring Semester (31.5-35.5 ECTS) - 2 required & 3 electives** | | | **Code/Course** | **ECTS** | | AFN 525 Options and Futures | 7.\n---\n56 **Thesis** 54 **TOTAL ECTS** 110 #### **Courses per Semester** * [Semester 1](#tab-6815307852551-1) * [Semester 2](#tab-6815307852551-2) * [Semester 3](#tab-6815307852551-3) | Semester | | | | | --- | --- | --- | --- | | **Course Type** | **Course** | **Course Title** | **ECTS** | | Compulsory | [CEE 610](#) | Graduate Seminars | 0 | | Restricted Elective | | Selection from a List of Courses | 8 | | Restricted Elective | | Selection from a List of Courses | 8 | | Restricted Elective | | Selection from a List of Courses | 8 | | **Total** | | | **24** | | Semester | | | | | --- | --- |\n---\npdf) | 4.0 | | [MBE5306 New Technology Ventures](https://www.ucy.ac.cy/econ/wp-content/uploads/sites/48/2023/07/MBE5306.pdf) | 3.0 | | **Semester 2** | | | **Code/Course** | **ECTS** | | [MBE5201 Finance & Accounting for Decision Making](https://www.ucy.ac.cy/econ/wp-content/uploads/sites/48/2023/07/MBE5201.pdf) | 4.0 | | [MBE5202 Marketing & Management for Innovative Firms](https://www.ucy.ac.cy/econ/wp-content/uploads/sites/48/2023/08/MBE5202_new.pdf) | 4.0 | | [MBE5203 Competitive Decision Making and Negotiations](https://www.ucy.ac.\n---\n80 **Thesis** 10 **TOTAL ECTS** 90 #### **Courses per Semester** * [Semester 1](#tab-681530749fb95-1) * [Semester 2](#tab-681530749fb95-2) * [Semester 3](#tab-681530749fb95-3) | Semester | | | | | --- | --- | --- | --- | | **Course Type** | **Course** | **Course Title** | **ECTS** | | Compulsory | [CEE 610](#) | Graduate Seminars | 0 | | Restricted Elective | | Selection from a List of Courses | 8 | | Restricted Elective | | Selection from a List of Courses | 8 | | Restricted Elective | | Selection from a List of Courses | 8 | | Restricted Elective | | Selection from a List of Courses | 8 | | **Total** | |\n---\n5 | | AFN 536 Business Valuation | 6 | | Three (3) Electives\* | 18-22 | | *\*At least one course on empirical methods [EMP]* | | | **MSc Dissertation** | | | **Start** in early Summer of first academic year **Finish** by end of Fall semester of next academic year | | | | | | --- | --- | | **Elective courses** | | | DSC 532 Statistical Learning [EMP] | 7 | | ECO 673 Applied Econometrics [EMP] | 7 | | AFN 524 Empirical Methods in Finance II [EMP] | 7.
What is the deadline for submitting application forms for entry in the fall semester?,0.8651142716407776,31.03.2025 at 12:00 pm,by the 31th of March,"The interested person needs to also submit a cover letter where they will present their interest in this specific program, what they would be interested in researching, mention three faculty members with whom they may be interested in working with and whom they have contacted prior and made their interest known, mentioning what it is about these faculty members’ work they find interesting. There is no need to receive a prior confirmation of collaboration from a faculty member, just to inform the members of their interest and intent to apply. **FALL SEMESTER 2025/26 - ENTRY: SEPTEMBER 2025** [Postgraduate Programme Places for the Fall Semester of the Academic Year 2025/2026 - Entry September 2025 - Submission until 31.03.2025 at 12:00 pm.\n---\n](https://www.ucy.ac.cy/graduateschool/wp-content/uploads/sites/45/2025/03/Aggliki-Prokirixi-BIO-xeimerino-2025-2026.pdf) [Department of Law - Postgraduate Programme Places for the Fall Semester of the Academic Year 2025/2026 - Entry September 2025 - Submission until 30.05.2025 at 12:00 pm.\n---\nγια υποψηφίους που έχουν ολοκληρώσει τουλάχιστον ένα εξάμηνο φοίτησης - περί τα μέσα Μαρτίου, αρχές Ιουλίου και μέσα Οκτωβρίου εκάστου έτους, για εισδοχή από το επόμενο ακαδημαϊκό εξάμηνο,\n---\nγια υποψηφίους που έχουν ολοκληρώσει τουλάχιστον ένα εξάμηνο φοίτησης - περί τα μέσα Μαρτίου, αρχές Ιουλίου και μέσα Οκτωβρίου εκάστου έτους, για εισδοχή από το επόμενο ακαδημαϊκό εξάμηνο,\n---\nγια υποψηφίους που έχουν ολοκληρώσει τουλάχιστον ένα εξάμηνο φοίτησης - περί τα μέσα Μαρτίου, αρχές Ιουλίου και μέσα Οκτωβρίου εκάστου έτους, για εισδοχή από το επόμενο ακαδημαϊκό εξάμηνο,"
Πού καθορίζονται οι ημερομηνίες;,0.9814171195030212,Από το Γραφείο Στέγασης,Από το Γραφείο Στέγασης.,"σύμφωνα με την απόσταση των χώρων διαμονής από τα κτίρια που έχετε μαθήματα, αλλά και την οικονομική σας άνεση.\n---\nσε ημερομηνίες που καθορίζονται από το Γραφείο Στέγασης. Στον πιο κάτω πίνακα φαίνεται το μηνιαίο ύψος ενοικίου ανά τύπο δωματίου.\n---\nκατά τη θερινή περίοδο](#tab-6815302a216e2-3) * [Έντυπα και κανόνες](#tab-6815302a216e2-4) Κατά τη διάρκεια του καλοκαιριού (Ιούνιο - Ιούλιο) η Φ.Ε.\n---\n- Πού πραγματοποιούνται τα περισσότερα σας μαθήματα; - Ποια είναι η οικονομική σας κατάσταση; Ανάλογα με τα πιο πάνω μπορείτε να κρίνετε ποια περιοχή σας βολεύει περισσότερο για ενοικίαση χώρου διαμονής,\n---\nκαι κατά την διάρκεια των διακοπών των Χριστουγέννων και του Πάσχα."
Τι συνίσταται κατά την υποβολή της αγγελίας;,0.9620106816291809,Να είστε ιδιαίτερα προσεκτικοί.,να είστε ιδιαίτερα προσεκτικοί,"έτσι συνίσταται όπως είστε ιδιαίτερα προσεκτικοί κατά την υποβολή της αγγελίας σας.\n---\n22894038). Οι εισπράξεις θα κατατεθούν, όπως κάθε χρόνο, στο Ταμείο του Σωματείου Ευημερίας Φοιτητών Πανεπιστημίου Κύπρου. Το [Έντυπο για καταχώρηση αγγελίας](https://www.ucy.ac.\n---\n- Στη βάση ημερομηνίας παραλαβής αιτήσεων (first come, first serve). **Υποβολή αίτησης** Η υποβολή αίτησης για διαμονής στη Φοιτητική Εστία γίνεται μόνο ηλεκτρονικά σε σχετικό σύνδεσμο που ανακοινώνεται σε εύθετο χρόνο.\n---\n**Υποβολή Αιτήσεων** Οι αιτήσεις μαζί με τα απαραίτητα πιστοποιητικά/βεβαιώσεις υποβάλλονται μόνο ηλεκτρονικά σε σχετικό σύνδεσμο που ανακοινώνεται αργότερα σε συγκεκριμένες σχετικές περιόδους.\n---\nucy.ac.cy/aasw/wp-content/uploads/sites/35/2022/09/ΕΝΤΥΠΟ-ΑΓΓΕΛΙΑΣ.docx) μπορείτε να το συμπληρώσετε και θα πρέπει να το καταθέσετε διά χειρός, συνοδευόμενο με το ποσό των €20 σε μετρητά, στο Γραφείο Στέγασης,"
"What options are available under the ""INFORMATION ABOUT"" section?",0.9999999403953552,"Express Services Office, Rent a Space, Tenders, UCY Memorabilia","Express Services Office, Rent a Space, Tenders, UCY Memorabilia","ucy.ac.cy/current-students/?lang=en) * [International Students](https://www.ucy.ac.cy/internationalsupport/) * [Alumni](https://www.ucy.ac.cy/alumni-development/?land=en) * [Media](https://www.ucy.ac.cy/information-for-media/?lang=en) * [Visitors](https://www.ucy.ac.cy/livinginnicosia/?lang=en) #### INFORMATION ABOUT * [Express Services Office](https://www.ucy.ac.cy/expressservices/?lang=en) * [Rent a Space](https://www.ucy.ac.cy/commercialservices/?lang=en) * [Tenders](https://www.ucy.ac.cy/tenders/?lang=en) * [UCY Memorabilia](https://eshop.ucy.ac.\n---\n# Registration in Courses * [Acceptance of a Place](#tab-68153158ef400-1) * [Account Activation and UCid](#tab-68153158ef400-2) * [University Student Card](#tab-68153158ef400-3) * [Payment of Tuition Fees](#tab-68153158ef400-4) * [Registration in Courses](#tab-68153158ef400-5) * [REGISTRATION IN COURSES FOR THE SPRING SEMESTER 2024/2025](#tab-68153158ef400-6) * [Payment of solidarity fund «Neophytos Handriotis»](#tab-68153158ef400-7) * [Αdd,\n---\nΣχετικές Πληροφορίες μπορείτε να βρείτε στον ακόλουθο σύνδεσμο: <https://www.gesy.org.\n---\nΜπορείτε ακόμα να βρείτε και να κατεβάσετε ενημερωτικά έντυπα και υλικό για θέματα που μπορεί να σας απασχολούν (άγχος, κατάθλιψη, σχέσεις, φύλο και σεξουαλικότητα, πένθος κ.α.\n---\n# AREA OF RESPONSIBILITY **Issues that can be handled by the Office:** 1. Guidance on the process to be followed in solving a problem 2. Explanation of the responsibilities of the various organizational entities 3. Directly promoting issues that the Organizational Entities are incompetent to deal with due to lack of legislation or policy 4. Delays related to research projects 5. Deviations/delays on service schedules or deadlines such as: - Wages or other compensation - Payments of submitted invoices - Liquidations of research programs - Co-financing and reports of research projects 6. Delays on approved requests for securing roof 7. Delays in purchase of approved / funded equipment 8. Other issues affecting the efficient daily operation of the University **Any requests concerning the following will not be examined :** 1. Private disputes 2. Appointments 3. Promotions / advancements 4. Student Admissions"
How many scholarships are announced by the University of Cyprus for Cypriots of the Diaspora to study in a UCY Masters programme?,0.8785378336906433,24,up to 24 scholarships,"11.2021_FAQ_english.pdf) For more information please check the announcement for the Postgraduate Programme Places & Scholarships “Evagoras and Praxandros” for the academic year 2021/2022: [Here](https://www.ucy.ac.cy/graduateschool/wp-content/uploads/sites/45/2022/01/Εnglish_Prok_XE_2021_2022.pdf) **\*\*Scholarships will not be offered in the next academic semester\*\*** SCHOLARSHIPS FOR OVERSEAS CYPRIOTS FOR STUDYING IN A UCY MASTERS PROGRAMME The University of Cyprus announces up to 24 scholarships which are addressed to Cypriots of the Diaspora. To be eligible for a scholarship, the candidate must meet the admission requirements and have secured a place in the postgraduate programme of his/her choice.\n---\nThe scholarships are for one academic year and the beneficiaries are the enrolled or new postgraduate students (Master and PhD) of the postgraduate programmes of the Faculties of Economics and Management, Pure and Applied Sciences, the Faculty of Engineering, and the Medical School. More information will be announced before the beginning of the academic year 2025/2026. SCHOLARSHIPS FOR PALESTINIAN STUDENTS The Council of the University of Cyprus has decided to award **five (5) scholarships to five (5) postgraduate students of the Universities of Gaza** (mainly to postgraduate programmes of study that offer the possibility of distance learning) in the form of tuition fee waiver for the Fall Semester 2025/2026. The scholarships will be funded from the University's Central own revenues.\n---\nIn addition, the candidate must be a Cypriot of the Diaspora and have a permanent residence in a foreign country for a continuous period of at least 10 years before submitting his/her application to the University of Cyprus for a scholarship. **\*\*Scholarships will not be offered in the next academic semester\*\*** SCHOLARSHIPS FOR THE STAFF OF THE MINISTRY OF DEFENSE AND THE NATIONAL GUARD OF CYPRUS The University of Cyprus provides four **(4) scholarships** to the personnel of the Cyprus Ministry of Defense and/or Cyprus National Guard. A prerequisite for the grant of the scholarship is to secure a place in a postgraduate programme of the University of Cyprus. Each scholarship will cover the second 50% of the tuition fees (considering that applicants have already paid the first 50%).\n---\n**Full list** of these programmes: **[Ucy Master's & PhD Programmes offered in English language or other language](../wp-content/uploads/sites/45/2022/02/MASTERS_AND_PHD_PROGRAMMES_OFFERED_IN_ENGLISH_LANGUAGE.pdf)** The international students of the University who attend a programme offered in a language other than the official languages of the Republic of Cyprus, are required to attend at least one course in ""Greek language and Culture"" before the completion of their programme. University Student Card According to the policy of the University of Cyprus, the issue of the student’s card is compulsory for all students. Among other applications, the new university card will allow access to controlled areas for beneficiaries, borrowing books from the library, use of photocopy machines etc.\n---\nThe scholarships will be funded from the University's Central own revenues. #### SCHOLARSHIPS OF ACADEMIC DEPARTMENTS / ENTITIES / OTHERS DEPARTMENTS' SCHOLARSHIPS FOR MASTER'S AND PhD STUDENTS The academic Departments of the University of Cyprus offer scholarships to their postgraduate students from their own income. For more information please click [**here**](https://www.ucy.ac.cy/graduateschool/wp-content/uploads/sites/45/2025/04/Policy-on-Departmental-Scholarships_EN_XP_07.04.2025.pdf)."
