Names,Links,Description
Timesheet_EN.pdf,https://drive.google.com/file/d/143GDgWLQ2vcol5RlTtHkLBr6r-EljaFF/view,"This document is a timesheet template used for tracking employee work hours across various projects and research programs. It includes fields for employee identification, month, year, position, department, and specific work packages. The document is designed to ensure compliance with employment laws, policies, and regulations, requiring signatures from the employee, research program coordinator, budget holder, and authorized HR officer. It is essential for budget management, project tracking, and administrative verification within research and advisory services.

Keywords: timesheet, employee work hours, project tracking, research programs, budget management, compliance, employment laws, HR verification, advisory services, work packages, signatures, administrative verification, department, position, month, year, employee identification."
Submission Form of Supporting Documents for the Award of a PhD Degree.pdf,https://drive.google.com/file/d/1Cly8FoLDhvxu1kl28IZbfetP-4G14yIr/view,"This document is a submission form for supporting documents required for the award of a PhD degree at the University of Cyprus. It is completed by the academic department and submitted to the Graduate School Dean. The document outlines the process and requirements for awarding a PhD degree, including the minimum duration of study, credit requirements, comprehensive examination, thesis proposal, and thesis defense. It also details the necessary supporting documents, such as the composition of the examination committee, reports, thesis copies, financial certification, and library receipt. The document is essential for ensuring compliance with the university's postgraduate study rules and facilitating the approval process by the Rector's Council and Senate.

Keywords: PhD degree, University of Cyprus, submission form, supporting documents, academic department, Graduate School Dean, examination committee, thesis, dissertation, comprehensive examination, thesis proposal, thesis defense, postgraduate studies, credit requirements, financial obligations, library receipt, Rector's Council, Senate approval."
Recommendation Letter Form for Admission to the Graduate Programmes of the Faculty of Engineering.pdf,https://drive.google.com/file/d/1Nk5xDd69GZ_zRILcPIT1YJJhX2_bkOFY/view,"This document is a ""Letter of Recommendation Form"" used in the admissions process for graduate programs at the University of Cyprus. It is designed for recommenders to evaluate an applicant's qualifications and potential for success in graduate studies. The form includes sections for the recommender to assess the applicant's analytical skills, engineering background, research ability, creativity, motivation, initiative, maturity, and integrity. It also asks for the recommender's relationship with the applicant, the duration of their acquaintance, and their overall recommendation for the applicant's admission to doctoral or master's programs. The document is essential for providing a comprehensive evaluation of the applicant's capabilities and readiness for advanced academic pursuits.

Keywords: Letter of Recommendation, Graduate Admissions, University of Cyprus, Applicant Evaluation, Analytical Skills, Research Ability, Creativity, Motivation, Initiative, Maturity, Integrity, Doctoral Program, Master's Program, Recommender Assessment, Graduate Study Preparation, Admissions Process, Academic Qualifications, Graduate Programs, Nicosia, Cyprus."
Recommendation Letter Form for Admission to the Graduate Programmes of the Department of Psychology.pdf,https://drive.google.com/file/d/1RUtNi75kvHtThvOC21FJR36E1IbYvxII/view,"Graduate Programs in Psychology Recommendation Form. This document is a recommendation form for admission to graduate programs in psychology at Cyprus University. It is intended for referees to evaluate applicants for various psychology programs, including Master in Cognitive Educational Psychology, Master in Social Developmental Psychology, Master in School Psychology, Master in School Counseling and Guidance, Doctorate in Psychology, and Doctorate in Clinical Psychology. The form requires the recommender to assess the applicant's academic potential, intellectual ability, motivation for graduate work, communication skills, ethical standards, and other relevant characteristics. The recommender must also indicate their relationship with the applicant and provide an overall recommendation. The form is to be sent in a sealed and signed envelope to the Department of Psychology at Cyprus University.

Keywords: Graduate Programs, Psychology, Recommendation Form, Admission, Cyprus University, Cognitive Educational Psychology, Social Developmental Psychology, School Psychology, School Counseling, Doctorate, Clinical Psychology, Academic Potential, Intellectual Ability, Motivation, Communication Skills, Ethical Standards, Recommender, Evaluation, Assessment, Applicant, Sealed Envelope."
recommendationLetterEN_Politechnikis.pdf,https://drive.google.com/file/d/1CfgUTpvQCbv0iuv0QespOtZe4CB8WA90/view,"This document is a ""Letter of Recommendation Form"" used in the admissions process for graduate programs at the University of Cyprus. It is designed for recommenders to evaluate an applicant's qualifications and potential for success in graduate studies. The form includes sections for the applicant's personal information, the recommender's relationship with the applicant, and ratings on various attributes such as analytical skills, research ability, creativity, and motivation. It also asks for a recommendation level for admission to doctoral or master's programs and an assessment of the applicant's promise as a graduate student. The document is essential for providing a comprehensive evaluation of the applicant's capabilities and readiness for advanced academic work.

Keywords: Letter of Recommendation, Graduate Admissions, University of Cyprus, Applicant Evaluation, Analytical Skills, Research Ability, Creativity, Motivation, Graduate Programs, Doctoral Program, Master's Program, Recommender, Admissions Process, Academic Qualifications, Graduate Study Preparation, Applicant Assessment, Nicosia, Cyprus."
Recommendation_Form_-_English.pdf,https://drive.google.com/file/d/14ux76MVPTAHeWpTKzu67TLF4Qmfg0jJk/view,"Graduate Programs in Psychology Recommendation Form. This document is a recommendation form for admission to graduate programs in psychology at Cyprus University. It is intended for referees to evaluate applicants for various psychology programs, including Master in Cognitive Educational Psychology, Master in Social Developmental Psychology, Master in School Psychology, Master in School Counseling and Guidance, Doctorate in Psychology, and Doctorate in Clinical Psychology. The form requires the recommender to assess the applicant's academic potential, intellectual ability, communication skills, ethical standards, and other relevant characteristics. It includes sections for personal information, relationship with the applicant, and a detailed rating system for various competencies. The form must be completed and sent in a sealed and signed envelope to the Department of Psychology.

Keywords: Graduate Programs, Psychology, Recommendation Form, Cyprus University, Cognitive Educational Psychology, Social Developmental Psychology, School Psychology, School Counseling, Doctorate in Psychology, Clinical Psychology, Academic Potential, Intellectual Ability, Communication Skills, Ethical Standards, Applicant Evaluation, Recommender Assessment, Graduate Admission, Psychology Department."
Phd-degree-award-sumbission-form-eng.pdf,https://drive.google.com/file/d/1AkYmfgmYjaHXb9UkeyBdLtfsdS7WpPjs/view,"This document outlines the submission process and requirements for supporting documents necessary for the award of a PhD degree at the University of Cyprus. It includes detailed instructions for the academic department to complete and submit the form to the Graduate School Dean, who then forwards it to the Rector's Council and Senate for approval. Key components include the examination committee's report, the PhD thesis/dissertation, financial certification, and library receipt. The document specifies the minimum requirements for obtaining a PhD, such as duration, credit completion, comprehensive examination, thesis proposal, and successful defense. It also lists the supporting documents needed, including the composition of the commission of inquiry, preliminary reports, and confirmation of thesis changes.

Keywords: PhD degree, University of Cyprus, submission form, supporting documents, academic department, Graduate School Dean, Rector's Council, Senate approval, examination committee, thesis/dissertation, financial certification, library receipt, minimum requirements, comprehensive examination, thesis proposal, doctoral defense, commission of inquiry, preliminary reports, thesis changes."
MA-DissertationForm-2.pdf,https://drive.google.com/file/d/1dzpCpulPoJhltymHPMRlxs3LX2M24xEV/view,"Master's thesis proposal for Political Science or Social and Political Theory, to be completed by the beginning of the third semester. Includes student name, ID, email, date, and proposed thesis topic. Requires a detailed description of the research problem, methodology, existing literature, and knowledge gaps in 800-1000 words. Must include a bibliography and signatures from the student, supervising professor, and program coordinator. Relevant for students in Political Science or Social and Political Theory master's programs.

Keywords: Master's thesis, Political Science, Social and Political Theory, research proposal, third semester, student information, research problem, methodology, literature review, knowledge gaps, bibliography, signatures, supervising professor, program coordinator, master's program, academic research, thesis topic."
HostingAgreementUCY-ResearcherCitizen3rdCountry.pdf,https://drive.google.com/file/d/1I4v_9w8jefMT7k6eoocM_Ov9JJL_1wL7/view,"This document outlines the ""Hosting Agreement"" between an approved Cypriot research organization and a researcher who is a citizen of a third country. It details the roles and responsibilities of both parties, including the research organization's obligations to provide financial support, ensure legal compliance, and offer an employment contract. The document also specifies the researcher's commitment to completing the research plan and maintaining sufficient resources and insurance during their stay in Cyprus. Key sections include the research organization's details, the researcher's personal and professional information, the research plan, and the terms of the hosting agreement.

Keywords: Hosting Agreement, Cypriot Research Organization, Third Country Researcher, Research Plan, Employment Contract, Financial Responsibility, Legal Compliance, Scientific Visa, Research Institution, Cyprus, Researcher Qualifications, Immigration Law, Research Funding, Sickness Insurance, Civil Registry, Migration Department, Legal Representative, Research Promotion Foundation, European Union Funded Project."
Entipo-Aitisis-Isdoxis-se-Defterevon-Ptixio-MINOR557.pdf,https://drive.google.com/file/d/1PyQaAdA8rUpVRwvtA0dw5N5Xd-wP3KUO/view,"Application for Admission to Minor Degree Program in Social and Political Sciences. This document is an application form for students seeking enrollment in a minor degree program in Sociology or Political Science. It includes fields for personal information such as name, surname, father's name, ID number, email address, and phone number. It also requires details about the applicant's current department, primary degree program, and general grade point average. The form specifies the need to attach a detailed transcript. Keywords: application, admission, minor degree, Social Sciences, Political Sciences, Sociology, Political Science, enrollment, student, personal information, department, primary degree, GPA, transcript."
CONFERENCE_LECTURE_ATTENDANCE_FORM_EN.pdf,https://drive.google.com/file/d/1kG5zR6zKGQgWR3rpawxxlYRdy63IHzwE/view,"This document is a Graduate School Conference/Lecture Attendance Form designed for students to record their participation in academic lectures and conferences. It requires students to present the form at each event, obtain the organizer's signature and department or university seal, and submit it to their academic/research advisor for approval. The form is essential for students to earn ECTS credits based on their participation, with specific credit allocations for lectures and conferences. It must be returned to the department before the next semester begins. Keywords: Graduate School, Conference Attendance, Lecture Attendance, ECTS Credits, Academic Advisor Approval, University Seal, Student Participation, Academic Form, PhD, Master, Department Submission, Academic Record, Teaching and Learning, Short Courses."
Έντυπο_Απουσίας_Ακαδημαϊκού_Προσωπικού (1).pdf,https://drive.google.com/file/d/1GvU0BwZJJ4Ov51OL-B5zeIDMQMBxpIyk/view,"This document outlines the procedures and requirements for obtaining permission for absence from academic duties for various reasons such as conference participation, informational visits, and collaborations. It includes details on communication, approval processes, and the roles of department heads and deans. The document specifies the duration of permissible absences and the necessary steps for approval, emphasizing the importance of formal communication and adherence to institutional policies.

Keywords: academic absence, permission, conference participation, informational visit, collaboration, communication, approval process, department head, dean, institutional policies, absence duration, formal communication, academic duties, procedural requirements."
Payment Order for Extra Pay Through the Payroll System.pdf,https://drive.google.com/file/d/1Kg6Jd6W_K2KtdOJAsySARPJ8b2RDu7Lp/view,"This document is a payment order form used by the University of Cyprus for processing extra pay through the payroll system. It is specifically designed for university employees and involves financial management of research projects, postgraduate tuition fees, and other income-related activities. The form is divided into two parts: Part A, completed by the division or department and signed by the authorized budget holder, and Part B, for official use by financial services. It includes sections for entering employee details, payment calculations, and budget article codes. The document ensures that payments are processed accurately, considering gross amounts, cost of employment, and employer contributions. It is essential for managing payroll, financial planning, and budget allocation within the university's financial services division.

Keywords: payment order, University of Cyprus, payroll system, extra pay, financial management, research projects, postgraduate tuition fees, income-related activities, authorized budget holder, financial services, employee details, payment calculations, budget article codes, gross amounts, cost of employment, employer contributions, payroll, financial planning, budget allocation."
Entypo-Apozimiwsis-Filoksenoumenwn-GP4.pdf,https://drive.google.com/file/d/19JoUhCjog3borYWyCyEdK0TdBgVHpmsv/view,"This document is a financial services form related to travel expenses and reimbursement. It includes sections for personal identification, travel details, and financial information. The document requires the attachment of specific items such as copies of tickets, receipts for transportation expenses, and invoices for reimbursement. It is intended for use in financial services, particularly for processing travel-related expenses and reimbursements. Keywords include: financial services, travel expenses, reimbursement, identification card, passport, mailing address, currency, amount, per diem, air ticket, transportation expenses, receipts, invoice, personal details, payment, guest."
Entoli-Odigia-Pliromis-entipo-GP1.pdf,https://drive.google.com/file/d/1JcMVGWkMT7OW8v6xnkdo69XQy5JNmhzf/view,"This document is a financial transaction directive, detailing payment instructions and recipient information. It includes approval numbers, external research program details, and payment specifics. The document is essential for verifying payment processes, ensuring compliance with financial regulations, and facilitating direct bank transactions. It is crucial for financial officers, auditors, and compliance teams to manage and track financial operations effectively.

Keywords: financial transaction, payment instructions, recipient information, approval numbers, external research program, payment specifics, compliance, financial regulations, bank transactions, financial officers, auditors, compliance teams, financial operations."
Entypo-prokatabolis-GP2.pdf,https://drive.google.com/file/d/1glLQDoPWAq4dqvXlMM5Y2QDa7kM84N1N/view,"This document is a travel funding request form used by financial services to process travel-related expenses. It includes details such as the purpose of travel, partial funding from other organizations, requested advance amount, daily allowance, hotel accommodation, airfare, registration fees, and submission deadlines. The form requires the applicant's signature and must be submitted 15 days before departure, with specific instructions on payment orders and check delivery. It is used for purposes like research, educational programs, or representation, and includes a declaration of responsibility. Approval is required from the financial management coordinator.

Keywords: travel funding request, financial services, travel expenses, purpose of travel, partial funding, advance amount, daily allowance, hotel accommodation, airfare, registration fees, submission deadline, payment order, check delivery, research, educational program, representation, declaration of responsibility, financial management coordinator, approval."
Entypo-Bebaiwsis-Paroxis-Ypiresiwn-GP5.pdf,https://drive.google.com/file/d/1B3C3gLzUdzGr7f9RCPceG_SFVjxBJts5/view,"This document is a form used for the declaration and approval of services provided by individuals, such as students or other collaborators, in relation to social insurance contributions and income tax obligations. It includes fields for personal information, job title, job description, service period, and cost. The document requires signatures from the student and an authorized officer for payment approval. It serves as a certification of service provision and financial obligations.

Keywords: form, declaration, approval, services, individuals, students, collaborators, social insurance, income tax, personal information, job title, job description, service period, cost, signatures, authorized officer, payment approval, certification, service provision, financial obligations."
"Specialization Forms (Management, Marketing, Operations Management).pdf",https://drive.google.com/file/d/1yLWN3jOFveRsGSxQFZ3a-l4FWWQrvaH5/view,"This document outlines the degree requirements for students in the fields of Management, Business Administration, and Marketing. It includes detailed information on compulsory courses, elective options, and specialization subjects necessary to achieve 240 ECTS credits. The document specifies courses in advanced English, management communication, leadership, human resource management, organizational behavior, strategic management, marketing research, consumer behavior, digital marketing, and more. It also covers the requirements for thesis work and the selection of courses from other departments, subject to academic advisor approval. The document is essential for students planning their academic path in these fields, ensuring they meet all necessary criteria for graduation.

Keywords: degree requirements, Management, Business Administration, Marketing, ECTS credits, compulsory courses, elective courses, specialization, advanced English, management communication, leadership, human resource management, organizational behavior, strategic management, marketing research, consumer behavior, digital marketing, thesis work, academic advisor, graduation criteria."
Αίτηση-Form-MFR1.pdf,https://drive.google.com/file/d/1EL998VXn3RQj09cq_k8lSmgIABT-cKjl/view,"Application for Family Reunification in Cyprus: This document is a comprehensive application form (Form MFR1) for family reunification under the Ministry of Interior, Civil Registry, and Migration Department in Cyprus. It is designed for applicants seeking to reunite with family members in Cyprus, in accordance with the Aliens and Immigration Law, Appendix III, Articles 18la. The form requires detailed personal information, including applicant and spouse particulars, accommodation details, income sources, and residence permit status. It mandates submission of supporting documents such as passports, birth and marriage certificates, medical examination results, and proof of income. The application also outlines conditions for eligibility, including marriage duration, age requirements, and residence permit status of the sponsor. The document emphasizes the need for certified copies and payment of application fees. 

Keywords: Family Reunification, Cyprus, Ministry of Interior, Civil Registry, Migration Department, Aliens and Immigration Law, Form MFR1, Application, Personal Information, Spouse Details, Accommodation, Income, Residence Permit, Supporting Documents, Eligibility Conditions, Certified Copies, Application Fees."
Entypo-Pliromis-Timologiou-me-Fwtoantigrafo-GP6.pdf,https://drive.google.com/file/d/15jMZuQflWkaud2PuKxnD3kCsMlD8GYoW/view,"This document is a financial services report related to the payment of an invoice with a photocopy due to the loss of the original. It confirms that the original invoice has been lost, the purchased items have been received by the University of Cyprus, and the services have been provided. The attached copy is verified as a true copy of the original, and the invoice has not been paid by any other organization. The document includes invoice details such as the name, invoice number, and issue date. It is intended for internal use by financial services and confirms that the invoice has not been paid according to the cheque issuance system. The document requires approval or disapproval for the payment of the invoice by the head of financial services.

Keywords: financial services, invoice payment, photocopy, lost original, University of Cyprus, true copy, unpaid invoice, internal use, cheque issuance system, approval, head of financial services."
Entypo-Ypobolis-Exodwn-Exoterikou-GP3.pdf,https://drive.google.com/file/d/1r3qHxOb8jmScS9fzJ4c-1GmbE_NW29Of/view,"This document is a financial reimbursement form used for travel expenses related to attending a conference. It includes sections for personal information, travel itinerary, transportation costs, accommodation, and other expenses. The form requires details such as flight tickets, transportation receipts, and payment methods. It also includes fields for the applicant's signature and date, as well as a declaration of any external funding or partial coverage by another entity. The document is essential for processing travel expense claims and ensuring compliance with financial policies.

Keywords: financial reimbursement, travel expenses, conference attendance, personal information, travel itinerary, transportation costs, accommodation, expenses, flight tickets, transportation receipts, payment methods, applicant signature, external funding, financial policies, expense claims, compliance."
IR59-2017_ΕΝ.pdf,https://drive.google.com/file/d/1dDLRy_4qAHdZSimpMxKplu9UNDfJINLr/view,"Form T.D.59A 2017 is an official document used for claiming income tax allowances for the year 2017 under the Income Tax Law No.118(I) of 2002, as amended. This form is essential for employees to declare their income, deductions, and allowances to compute their taxable income and the corresponding tax. It includes sections for salaried services, gross rents, income from other sources, and various deductions such as subscriptions to professional bodies, capital allowances, and life insurance premiums. The form also provides detailed instructions for both employees and employers on how to complete and submit the form, ensuring accurate tax computation and deduction. Key elements include tax rates, chargeable income, and specific instructions for widows' pensions and first employment deductions.

Keywords: Form T.D.59A 2017, income tax claim, allowances, Income Tax Law No.118(I) 2002, taxable income, deductions, salaried services, gross rents, life insurance premiums, tax computation, employees, employers, widows' pension, first employment deduction, tax rates, chargeable income, tax deduction, income declaration, professional bodies, capital allowances, tax instructions."
Declaration Claim Form for I.R.59.pdf,https://drive.google.com/file/d/1IHiwufVXzdbm4MiN0zrOEUkGRWwLCa7J/view,"Declaration Claim Form for Income Tax Allowance - University of Cyprus. This document is used to claim an income tax allowance amounting to 20% of income or €8,543.01, whichever is lower, under Article 8(21) of the Income Tax Law Ν. 118(I)/2002. It is applicable for individuals who have not been residents of the Republic of Cyprus before their employment and have not completed 183 days in Cyprus between their arrival and employment start date. The allowance is valid for three years starting from January 1st of the year following the commencement of employment. The form requires personal details such as name, alien registration number, identity card number, social security number, and passport number, along with the dates of arrival and employment.

Keywords: Declaration Claim Form, Income Tax Allowance, University of Cyprus, Article 8(21), Income Tax Law Ν. 118(I)/2002, Republic of Cyprus, non-resident, employment, 183 days, personal details, alien registration number, identity card number, social security number, passport number, tax allowance validity, employment commencement."
"Application for the acquisition of Entry Permit, Registration and the acquisitionRenewal of a temporary residence permit ).pdf",https://drive.google.com/file/d/1V6a0OaIRIsd8rAE8X2Psomd-RO7kIhYP/view,"This document is a comprehensive application form for acquiring, registering, and renewing temporary residence permits in Cyprus, specifically for remunerated employment purposes. It is issued by the Ministry of Interior's Civil Registry and Migration Department under the Aliens and Immigration Law, Cap. 105. The document includes detailed sections on the type of application, purpose of temporary residence, personal particulars of the applicant, family members, employment details, and official declarations. It also outlines the submission process, required supporting documents, and legal obligations regarding false declarations. The document is essential for third-country nationals seeking legal residence and employment in Cyprus and includes provisions for biometric data collection and data protection under the relevant laws.

Keywords: Cyprus, temporary residence permit, remunerated employment, Ministry of Interior, Civil Registry and Migration Department, Aliens and Immigration Law, Cap. 105, application form, entry permit, registration, renewal, third-country nationals, biometric data, data protection, legal residence, employment, supporting documents, official declarations, submission process, personal particulars, family members, employment details, legal obligations, false declarations, data processing, personal data, aliens central registry, aliens personal files, Nicosia, immigration regulations."
Special-Course-Approval-Form.pdf,https://drive.google.com/file/d/14BXMtrJVVm7Kskh2Yzz00DLWdrQzHRqc/view,It seems there is no content in the file you provided. Please provide the text or content of the document so I can generate an effective description and relevant keywords for it.
Request Form for Books and Audio-Visual Material.pdf,https://drive.google.com/file/d/1LcIPK-Kx1eUGjxkyN70sgaSA1RfgM_AI/view,"This document is a comprehensive form used for financial and administrative purposes within an organization, specifically related to employee information and payroll management. It is designed to be completed by employees to update or confirm personal and employment details, such as date of birth, address, and social insurance number. The document also includes sections for internal use, detailing financial management, research programs, and budget allocations. It is relevant for processes like appointments, promotions, and salary adjustments, and is essential for departments handling economic planning, payroll, and human resources. Keywords include: οικονομικές υπηρεσίες, employee information, payroll management, financial management, research programs, budget allocations, appointments, promotions, salary adjustments, human resources, economic planning, social insurance number, identity card number, passport number, academic visitors, postgraduate researchers, internal research, external research, financial services, administrative purposes."
ypotrofies_ipefthini_dilosi_se_PhD_english_12.10.21.pdf,https://drive.google.com/file/d/1zjfmaprrD6kZ4MucQbOvivXIxqk5zaNn/view,"PhD Student Full Scholarship Declaration, University of Cyprus. This document is a formal declaration by a PhD student accepting a full scholarship from the University of Cyprus for up to three academic years. It outlines the conditions of the scholarship, including restrictions on employment both within and outside the university, prohibition of receiving additional scholarships or income, and the requirement to notify the graduate school of any changes in employment status. The document also details the consequences of non-compliance, such as reimbursement of scholarship funds and exclusion from future scholarship opportunities. The student agrees to submit annual progress reports and fulfill teaching assistant duties. 

Keywords: PhD student, full scholarship, University of Cyprus, academic years, employment restrictions, scholarship conditions, graduate school, reimbursement, progress report, teaching assistant duties, scholarship termination, scholarship declaration, student obligations, university policy, academic department, scholarship compliance."
